Date,ETH_sent,LINK_sent,DOGE_sent,ADA_sent,BTC_carry,ETH_carry
2020-11-04,0.0,-0.0,0.0,0.0,0.00028400680929862037,0.000212361
2020-11-05,0.0,0.0,0.0,0.0,0.0002756238393669227,0.000193763
2020-11-06,0.0,0.0,0.0,0.0,0.0002881742019983259,0.000209473
2020-11-07,0.046466748,0.015165426,0.03206466,0.074375934,0.00033883950997037784,0.000264355
2020-11-08,0.0429291,0.064400668,0.013762538,0.0507254,0.0003228932653750616,0.000247388
2020-11-09,-0.022212749,-0.024409233,-0.013013755,-0.008861295,0.00028460638589368996,0.00021065
2020-11-10,0.013457829,-0.027156196,0.032765677,0.002742189,0.00025535314626706426,0.000205942
2020-11-11,0.0,-0.0,-0.0,0.0,0.00027565478802011906,0.000218935
2020-11-12,-0.0,0.0,0.0,-0.0,0.0002897943716704905,0.000216171
2020-11-13,0.0,-0.0,0.0,0.0,0.0002662397627974937,0.000211552
2020-11-14,-0.033161405,-0.015943099,-0.01523245,-0.020723175,0.00023366978083661302,0.000185073
2020-11-15,-0.0,-0.0,0.0,-0.0,0.00021694653518415454,0.000164345
2020-11-16,0.0,0.0,0.0,0.0,0.0002531739057128481,0.000203517
2020-11-17,0.0,0.0,0.0,0.0,0.00024015747945186895,0.000215047
2020-11-18,-0.007787164,-0.03652573,-0.010704067,-0.026754662,0.00022855579604794286,0.000176225
2020-11-19,0.015079367,0.001422446,0.000584665,0.006400624,0.00023280754680753685,0.000172402
2020-11-20,0.0,0.0,0.0,0.0,0.00024558337377059413,0.000196277
2020-11-21,0.0,0.0,0.0,0.0,0.0002448642118904187,0.000204927
2020-11-22,0.0,-0.0,-0.0,0.0,0.0002567467519765092,0.000209508
2020-11-23,0.083138021,0.112217985,0.097715023,0.056332293,0.00027796525832144613,0.000221072
2020-11-24,-0.0,0.0,0.0,0.0,0.00031712935377659686,0.000225007
2020-11-25,-0.0,-0.0,-0.0,-0.0,0.00030503476841534403,0.000221677
2020-11-26,0.091256948,0.142430121,0.132110804,0.11131688,0.0002869098662665642,0.00021285
2020-11-27,-0.0,-0.0,0.0,0.0,0.0002888941463273311,0.000198952
2020-11-28,-0.035678846,-0.038865665,-0.035777539,-0.151002024,0.00027393677839459044,0.0002018
2020-11-29,0.0,0.0,0.0,0.0,0.00028453204076701655,0.000227926
2020-11-30,-0.06768946,-0.1078168,-0.035587893,-0.031951222,0.0003790301850374649,0.000376699
2020-12-01,-0.052261626,-0.098840926,-0.069745351,-0.10030987,0.0003219177628993001,0.000336115
2020-12-02,0.019676649,0.022484446,0.012358951,0.018021948,0.0003297464891196441,0.000338251
2020-12-03,-0.031270586,0.006993632,-0.019613669,-0.034305383,0.0003322230154532872,0.000342268
2020-12-04,-0.082220933,-0.043879271,-0.043511035,-0.103816804,0.00028500015720442004,0.000279603
2020-12-05,0.0,0.0,0.0,0.0,0.0003219818967458093,0.000289626
2020-12-06,-0.007910985,0.011566444,0.001770591,0.007531574,0.00033465618570887576,0.000315461
2020-12-07,-0.0,-0.0,-0.0,-0.0,0.00032761734546218603,0.000290845
