Date,ETH,BCH,DOGE,ADA
15/5/19,-0.136703344,,,-0.105715566
16/5/19,0.063063734,,,-0.064666325
17/5/19,-0.078498646,,,-0.061740047
18/5/19,-0.044786727,,,-0.049926762
19/5/19,0.0,,,0.0
20/5/19,-0.035855414,,,-0.020408872
21/5/19,0.0,,,-0.0
22/5/19,0.039395925,,,0.081024982
23/5/19,0.003768952,,,0.036118733
24/5/19,-0.017469994,,,-0.003479129
25/5/19,0.005409859,,,-0.006970404
26/5/19,0.055311667,,,0.061520607
27/5/19,0.0,,,0.0
28/5/19,-0.001846518,,,-0.027835667
29/5/19,-0.0,,,-0.0
30/5/19,-0.054542645,,,-0.079015562
31/5/19,0.0,,,0.0
1/6/19,-0.0,,,0.0
2/6/19,0.017066861,,,0.062450015
3/6/19,-0.07316433,,,-0.096401117
4/6/19,-0.0,,,-0.0
5/6/19,0.017412456,,,0.000606097
6/6/19,0.0,,,0.0
7/6/19,0.0,,,0.0
8/6/19,0.022439054,,,0.01708632
9/6/19,-0.051758594,,,-0.057764009
10/6/19,-0.065071434,,,-0.075791063
11/6/19,0.009046516,,,-0.027132099
12/6/19,0.066738911,,,0.093936553
13/6/19,0.025126365,,,0.068635904
14/6/19,-0.0301682,,,-0.004673426
15/6/19,0.0,,,0.0
16/6/19,-0.0,,,0.0
17/6/19,0.020078694,,,0.015656531
18/6/19,-0.0,,,-0.0
19/6/19,0.013063249,,,0.005597865
20/6/19,-0.011421067,,,0.025555439
21/6/19,-0.081839236,,,-0.019059
22/6/19,0.054347907,,,0.063456354
23/6/19,-0.0,,,0.0
24/6/19,-0.010062004,,,-0.009133421
25/6/19,0.0,,,-0.0
26/6/19,0.0,,,0.0
27/6/19,-0.0,,,-0.0
28/6/19,0.041686377,,,0.026610375
29/6/19,0.0,,,0.0
30/6/19,-0.0,,,-0.0
1/7/19,0.008064423,,,0.016158557
2/7/19,0.012241224,,,0.037289565
3/7/19,0.03260388,,,0.021738652
4/7/19,-0.0,,,-0.0
5/7/19,-0.016626128,,,0.013795117
6/7/19,0.002848411,,,0.014828576
7/7/19,0.055426404,,0.01071383,0.028637019
8/7/19,-0.023513707,,0.022786411,-0.005006268
9/7/19,-0.0,,-0.0,-0.0
10/7/19,0.061122778,,0.033078377,0.080921075
11/7/19,-0.073887251,,-0.04063999,-0.096913582
12/7/19,-0.022053356,,-0.016442452,-0.062762194
13/7/19,-0.021457918,,-0.0,-0.038949739
14/7/19,-0.174059343,,-0.108912042,-0.119076588
15/7/19,0.010351375,,0.05134128,-0.003551801
16/7/19,0.13752081,,-0.0,0.130293189
17/7/19,-0.058255626,,-0.029148783,-0.060658682
18/7/19,-0.068382341,,-0.072170571,-0.059587593
19/7/19,-0.02239936,,-0.02440859,0.019826118
20/7/19,0.0,,0.0,0.0
